epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5466,2.99442,4.37438,2.32133,0,0,0,0,1.99576,3.84794,1.79425,2.858e-05,2.858e-05,2.858e-05
2,24.5022,2.69409,4.21371,1.98704,0,0,0,0,1.70099,3.74956,1.56782,7.07426e-05,7.07426e-05,7.07426e-05
3,36.0407,2.11718,3.93178,1.65953,0.00345,0.09524,0.08068,0.04841,1.463,3.63366,1.32317,0.000112056,0.000112056,0.000112056
4,47.7461,1.77123,3.51121,1.37027,0.00888,0.2381,0.08561,0.0511,1.02542,3.51981,1.11727,0.000152521,0.000152521,0.000152521
5,59.7964,1.83442,3.10186,1.35375,0.02103,0.80952,0.15383,0.10379,0.91269,3.39555,1.07402,0.000192138,0.000192138,0.000192138
6,71.554,1.7234,2.6147,1.27196,0.02006,0.80952,0.20082,0.10525,0.84602,3.26209,1.01317,0.000230905,0.000230905,0.000230905
7,83.4821,1.76087,2.51629,1.23327,0.01932,0.80952,0.26124,0.18981,0.81056,3.09434,0.9843,0.000268823,0.000268823,0.000268823
8,95.0805,1.68038,2.27368,1.21504,0.0164,0.42857,0.25378,0.19722,0.8061,3.00606,0.99309,0.000305893,0.000305893,0.000305893
9,106.719,1.66686,2.23149,1.2118,0.02298,0.90476,0.36153,0.24979,0.94717,2.99738,1.09946,0.000342114,0.000342114,0.000342114
10,118.579,1.77672,2.13994,1.21368,0.02291,0.90476,0.41403,0.29584,0.89328,2.92428,1.10606,0.000377486,0.000377486,0.000377486
11,130.265,1.75966,2.08954,1.23757,0.02376,0.90476,0.42173,0.29195,1.0328,2.67773,1.22177,0.000412009,0.000412009,0.000412009
12,141.847,1.61904,2.02963,1.21454,0.02543,0.90476,0.41958,0.30455,0.94108,2.55594,1.16225,0.000445684,0.000445684,0.000445684
13,153.469,1.55793,1.91702,1.16612,0.02751,0.90476,0.37449,0.30318,0.83657,2.61036,1.10499,0.000478509,0.000478509,0.000478509
14,165.36,1.64734,2.00384,1.20957,0.02881,0.90476,0.36551,0.29575,0.88888,2.6818,1.11904,0.000510486,0.000510486,0.000510486
15,177.543,1.59894,1.86769,1.17803,0.02863,0.90476,0.38849,0.30187,0.85399,2.68944,1.10099,0.000541614,0.000541614,0.000541614
16,192.278,1.55915,1.86491,1.16244,0.02593,0.90476,0.38772,0.29539,0.94948,2.72727,1.10799,0.000571893,0.000571893,0.000571893
17,205.237,1.63781,1.88093,1.18869,0.02264,0.90476,0.36752,0.28478,0.94731,2.74144,1.11149,0.000601323,0.000601323,0.000601323
18,216.884,1.49993,1.77501,1.11927,0.02268,0.90476,0.34612,0.2789,0.94003,2.6573,1.10532,0.000629905,0.000629905,0.000629905
19,228.332,1.55847,1.88634,1.16292,0.02276,0.90476,0.37692,0.29712,0.94574,2.56654,1.10248,0.000657637,0.000657637,0.000657637
20,240.453,1.43941,1.74649,1.15623,0.66088,0.45738,0.37262,0.28816,0.98036,2.43049,1.09873,0.000684521,0.000684521,0.000684521
21,251.934,1.46577,1.79111,1.17157,0.65583,0.42547,0.34343,0.27155,0.9714,2.45817,1.10198,0.000710556,0.000710556,0.000710556
22,263.549,1.45963,1.7632,1.14582,0.64953,0.42857,0.35018,0.26996,0.96477,2.54448,1.11355,0.000735742,0.000735742,0.000735742
23,275.226,1.60021,1.91295,1.16483,0.64943,0.42857,0.36624,0.27731,0.9959,2.45574,1.12259,0.000760079,0.000760079,0.000760079
24,286.98,1.54921,1.80581,1.15258,0.22491,0.57143,0.38711,0.30451,0.92479,2.38516,1.07121,0.000783568,0.000783568,0.000783568
25,298.678,1.48929,1.80316,1.12519,0.02183,0.90476,0.39944,0.30905,0.91119,2.41614,1.05532,0.000806208,0.000806208,0.000806208
26,310.697,1.4389,1.7981,1.13032,0.02164,0.90476,0.43405,0.36597,0.86123,2.43919,1.05621,0.000827998,0.000827998,0.000827998
27,322.788,1.44124,1.72048,1.10078,0.69723,0.34287,0.42689,0.32734,1.00036,2.26128,1.09901,0.00084894,0.00084894,0.00084894
28,334.34,1.42103,1.64149,1.08834,0.2998,0.52268,0.43934,0.32321,1.04998,2.03659,1.12756,0.000869033,0.000869033,0.000869033
29,346.527,1.38335,1.66708,1.10027,0.2998,0.52268,0.43934,0.32321,1.04998,2.03659,1.12756,0.000888278,0.000888278,0.000888278
30,358.71,1.42674,1.70159,1.15122,0.28817,0.55887,0.40526,0.28867,1.07438,1.91414,1.15036,0.000906673,0.000906673,0.000906673
31,370.199,1.3931,1.64043,1.11031,0.28843,0.5593,0.39532,0.24852,1.17905,1.92851,1.16866,0.00092422,0.00092422,0.00092422
32,381.94,1.48593,1.73728,1.12696,0.30949,0.50559,0.40051,0.24661,1.19881,2.05814,1.18462,0.000940918,0.000940918,0.000940918
33,393.585,1.40469,1.67901,1.11762,0.30949,0.50559,0.40051,0.24661,1.19881,2.05814,1.18462,0.000956767,0.000956767,0.000956767
34,405.207,1.33627,1.68262,1.08759,0.6419,0.50209,0.361,0.2608,1.04756,2.06834,1.12144,0.000962146,0.000962146,0.000962146
35,416.839,1.4068,1.63729,1.08607,0.63516,0.47619,0.37991,0.31677,0.89549,1.93652,1.0511,0.000947999,0.000947999,0.000947999
36,428.417,1.36704,1.66504,1.08827,0.61837,0.47619,0.39173,0.32134,0.92955,1.84695,1.07017,0.000933851,0.000933851,0.000933851
37,439.866,1.44092,1.63053,1.09415,0.61837,0.47619,0.39173,0.32134,0.92955,1.84695,1.07017,0.000919704,0.000919704,0.000919704
38,451.354,1.31979,1.61165,1.08995,0.62816,0.47619,0.37134,0.30866,0.91854,1.80453,1.07104,0.000905557,0.000905557,0.000905557
