epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9465,2.8587,4.37686,2.25976,0,0,0,0,1.98117,3.82833,1.7703,2.858e-05,2.858e-05,2.858e-05
2,23.6326,2.52147,4.12146,1.94543,0.00146,0.04762,0.00248,0.00025,1.74547,3.72492,1.56287,7.07426e-05,7.07426e-05,7.07426e-05
3,35.2413,2.05486,3.8433,1.63244,0.00364,0.09524,0.05369,0.03152,1.32401,3.60438,1.28385,0.000112056,0.000112056,0.000112056
4,46.7207,1.90553,3.5457,1.40565,0.00454,0.09524,0.08107,0.05035,0.95613,3.54157,1.13347,0.000152521,0.000152521,0.000152521
5,58.2224,1.75613,2.9858,1.31748,0.02245,0.80952,0.21753,0.15784,0.87667,3.38782,1.06984,0.000192138,0.000192138,0.000192138
6,69.7845,1.76497,2.53077,1.27798,0.02123,0.80952,0.22204,0.15464,0.8107,3.23436,0.9887,0.000230905,0.000230905,0.000230905
7,81.3584,1.74003,2.44856,1.22554,0.02276,0.85714,0.21799,0.15541,0.78264,3.09007,0.95804,0.000268823,0.000268823,0.000268823
8,93.0295,1.74415,2.29005,1.20612,0.02482,0.90476,0.2473,0.15735,0.82564,3.01285,1.00372,0.000305893,0.000305893,0.000305893
9,104.583,1.63873,2.1393,1.22631,0.02466,0.90476,0.33384,0.24239,0.80145,2.93995,1.01765,0.000342114,0.000342114,0.000342114
10,116.299,1.67764,2.13743,1.18266,0.02464,0.90476,0.3647,0.24766,0.99389,2.96357,1.11661,0.000377486,0.000377486,0.000377486
11,127.909,1.6342,2.02484,1.17684,0.02508,0.90476,0.37437,0.26896,1.01369,2.82294,1.09576,0.000412009,0.000412009,0.000412009
12,139.606,1.63881,2.09342,1.21057,0.67177,0.48786,0.39655,0.29931,0.92499,2.66342,1.05578,0.000445684,0.000445684,0.000445684
13,151.184,1.58962,2.0323,1.20198,0.0238,0.90476,0.3804,0.29926,0.86652,2.6179,1.01253,0.000478509,0.000478509,0.000478509
14,162.797,1.62369,2.03531,1.17774,0.02494,0.90476,0.40773,0.31708,0.8587,2.72124,1.01091,0.000510486,0.000510486,0.000510486
15,174.387,1.45715,1.96075,1.10757,0.02746,0.90476,0.40064,0.25857,1.00586,2.8762,1.08753,0.000541614,0.000541614,0.000541614
16,185.94,1.52089,1.93403,1.18212,0.02669,0.90476,0.37232,0.25446,1.0583,2.83185,1.12321,0.000571893,0.000571893,0.000571893
17,197.508,1.5626,1.91048,1.15758,0.03566,0.95238,0.39325,0.26551,1.00897,2.71382,1.10374,0.000601323,0.000601323,0.000601323
18,209.028,1.49334,1.93092,1.17707,0.03712,0.90476,0.38126,0.26102,0.99366,2.73251,1.09104,0.000629905,0.000629905,0.000629905
19,220.516,1.47478,1.78886,1.11665,0.03381,0.90476,0.39289,0.28009,0.93791,2.73445,1.05297,0.000657637,0.000657637,0.000657637
20,232.211,1.51605,1.79813,1.12534,0.03732,0.90476,0.31098,0.22469,0.95302,2.76118,1.06468,0.000684521,0.000684521,0.000684521
21,243.762,1.42924,1.78893,1.1351,0.04103,0.90476,0.328,0.23705,0.96754,2.81499,1.0746,0.000710556,0.000710556,0.000710556
22,255.4,1.47367,1.78298,1.13442,0.03542,0.90476,0.28716,0.20509,1.03824,2.77815,1.10919,0.000735742,0.000735742,0.000735742
23,267.013,1.43505,1.74748,1.12889,0.02902,0.90476,0.26059,0.17463,1.07929,2.65803,1.12678,0.000760079,0.000760079,0.000760079
24,278.57,1.5412,1.78056,1.12722,0.27423,0.42857,0.2932,0.20539,1.06305,2.56602,1.11105,0.000783568,0.000783568,0.000783568
25,290.129,1.50222,1.74182,1.1366,0.61177,0.30325,0.30427,0.21848,1.02878,2.50706,1.08097,0.000806208,0.000806208,0.000806208
26,301.79,1.50081,1.74373,1.09955,0.62544,0.33456,0.33841,0.23778,1.03691,2.4389,1.09198,0.000827998,0.000827998,0.000827998
